Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
47.59,Afternoon,Weekday,1.0,High,Clear,,0.62,0.43,40.57,
30.45,Morning,Weekday,3.0,High,Clear,2.77,1.78,0.34,110.33,
48.53,Night,Weekday,3.0,Low,Clear,4.78,,0.5,79.94,
4.19,Morning,Weekday,1.0,Low,Clear,4.07,1.89,0.19,69.06,
38.78,Morning,Weekday,3.0,Medium,Clear,3.08,1.62,0.15,90.14,
4.77,Morning,Weekend,2.0,High,Clear,,0.96,0.18,105.91,
16.58,Evening,,2.0,Low,Clear,4.46,1.23,0.16,62.79,
10.14,Afternoon,Weekday,4.0,Low,Rain,4.5,1.62,0.38,25.41,
19.95,Morning,Weekday,3.0,Low,,2.5,0.88,0.49,,
46.9,Evening,Weekday,1.0,High,Clear,4.14,1.33,0.13,66.38,
33.51,Afternoon,Weekend,3.0,Low,Clear,2.31,1.32,0.4,62.87,
32.95,Morning,Weekday,1.0,Medium,Clear,3.36,1.56,0.19,81.37,
35.9,,Weekend,2.0,High,Clear,4.03,1.79,0.13,107.25,
44.71,Night,Weekday,1.0,Low,Rain,2.5,1.94,0.47,45.94,
49.51,Evening,Weekday,3.0,Medium,Snow,4.81,0.74,0.14,82.21,
7.86,Afternoon,,3.0,Medium,Rain,4.82,0.75,0.26,,
26.4,Afternoon,Weekday,4.0,Low,Clear,2.52,,0.39,108.34,
43.99,Morning,Weekday,3.0,Medium,Clear,4.62,1.69,0.36,23.91,
26.06,Afternoon,Weekend,4.0,Medium,Clear,2.08,1.14,0.23,113.99,
25.57,Morning,Weekday,3.0,High,Rain,3.13,0.93,0.11,19.53,
2.76,Afternoon,Weekday,3.0,Low,Clear,4.73,1.81,0.3,59.25,
21.56,Afternoon,Weekday,1.0,High,Clear,,1.51,0.32,50.02,
22.02,Morning,Weekday,1.0,High,Clear,,0.51,0.3,71.54,
1.53,Evening,Weekday,1.0,Low,Clear,4.33,1.7,0.42,77.3,
22.63,Morning,Weekday,2.0,Medium,Clear,4.33,,0.44,73.27,
5.09,Afternoon,Weekday,4.0,Low,,4.48,0.53,0.21,71.35,
13.65,Afternoon,Weekday,2.0,Low,Clear,3.07,1.61,0.29,,
31.29,Morning,Weekday,3.0,Medium,Rain,4.41,,0.21,50.19,
44.87,Afternoon,,4.0,Low,Clear,4.27,,0.34,90.81,
26.07,Afternoon,Weekday,1.0,Medium,Clear,3.62,1.51,0.49,64.89,
1.98,Afternoon,Weekday,3.0,Low,Clear,3.4,1.92,0.15,51.56,
17.05,Afternoon,Weekday,4.0,High,Rain,4.63,0.9,0.25,63.82,
32.65,Afternoon,Weekday,1.0,High,Clear,2.41,0.97,0.26,80.84,
10.14,Morning,Weekend,4.0,Low,Clear,2.17,0.89,0.27,36.16,
6.49,Morning,Weekday,3.0,Medium,,3.68,,0.19,31.66,
9.02,Afternoon,Weekday,3.0,Low,Clear,3.17,1.14,0.31,89.73,
22.52,Afternoon,Weekend,2.0,Medium,Clear,4.6,1.49,0.35,62.07,
17.41,Morning,Weekday,,Medium,Clear,2.05,1.86,,39.98,
8.43,Afternoon,Weekday,4.0,Low,Clear,2.36,0.88,0.13,57.18,
23.64,Morning,Weekend,1.0,Low,Clear,4.9,1.92,0.13,51.47,
29.45,Night,Weekend,,Low,Rain,3.38,1.48,0.29,40.72,
14.27,Morning,Weekend,1.0,Low,Clear,,1.45,0.27,27.05,
12.92,Night,Weekend,2.0,Low,Rain,3.69,1.14,0.14,,
41.68,Evening,,1.0,Medium,Rain,4.25,1.72,0.48,32.07,
29.92,Afternoon,Weekday,1.0,Low,Clear,2.14,1.14,0.28,23.1,
43.55,Afternoon,Weekday,2.0,Low,,4.97,0.79,0.33,111.3,
45.8,Evening,Weekday,2.0,Medium,Rain,,0.84,0.11,31.43,
30.16,Morning,Weekend,4.0,Medium,Clear,3.55,1.5,0.13,117.57,
35.04,Morning,Weekend,4.0,Medium,Rain,2.9,1.1,0.15,9.99,
